hop_avg,hop_host,hop_stdev,trace_time,hop_wrst,hop_loss,hop_best
18.1,angus.amuri.net,4.9,2016-02-10 07:29:42+13,27.5,0.0,10.3
22.0,angus.amuri.net,8.0,2016-02-10 07:36:01+13,43.3,0.0,12.3
19.6,angus.amuri.net,5.9,2016-02-10 07:42:19+13,32.9,5.0,13.9
21.3,angus.amuri.net,5.8,2016-02-10 07:48:37+13,31.7,5.0,12.6
23.3,angus.amuri.net,9.1,2016-02-10 07:54:55+13,47.8,0.0,12.5
25.4,angus.amuri.net,15.3,2016-02-10 08:01:13+13,63.9,0.0,13.1
22.0,angus.amuri.net,9.7,2016-02-10 08:07:31+13,50.8,0.0,12.0
19.2,angus.amuri.net,7.3,2016-02-10 08:13:49+13,34.9,0.0,10.3
22.0,angus.amuri.net,11.1,2016-02-10 08:20:07+13,64.2,0.0,13.5
22.8,angus.amuri.net,11.0,2016-02-10 08:26:26+13,48.7,0.0,11.7
21.4,angus.amuri.net,8.7,2016-02-10 08:32:44+13,46.1,0.0,13.2
25.0,angus.amuri.net,9.9,2016-02-10 08:39:03+13,52.4,0.0,13.2
21.6,angus.amuri.net,9.7,2016-02-10 08:45:21+13,46.7,5.0,10.8
28.2,angus.amuri.net,14.9,2016-02-10 08:51:39+13,60.4,0.0,11.3
20.8,angus.amuri.net,6.7,2016-02-10 08:57:57+13,37.1,0.0,12.4
18.3,angus.amuri.net,6.5,2016-02-10 09:04:15+13,37.8,0.0,11.4
17.8,angus.amuri.net,5.2,2016-02-10 09:10:33+13,30.3,0.0,10.9
20.7,angus.amuri.net,8.1,2016-02-10 09:16:51+13,45.3,0.0,11.3
19.6,angus.amuri.net,7.0,2016-02-10 09:23:09+13,35.0,0.0,11.9
18.2,angus.amuri.net,4.4,2016-02-10 09:29:27+13,28.6,0.0,11.4
19.6,angus.amuri.net,9.7,2016-02-10 09:35:46+13,52.6,0.0,11.1
21.7,angus.amuri.net,12.0,2016-02-10 09:42:05+13,67.2,5.0,13.5
19.2,angus.amuri.net,5.6,2016-02-10 09:48:23+13,30.1,0.0,12.0
18.5,angus.amuri.net,6.4,2016-02-10 09:54:41+13,34.6,0.0,11.2
19.5,angus.amuri.net,6.4,2016-02-10 10:00:59+13,34.7,0.0,11.9
22.7,angus.amuri.net,14.2,2016-02-10 10:07:17+13,72.5,0.0,11.8
22.2,angus.amuri.net,10.6,2016-02-10 10:13:34+13,50.2,0.0,10.6
21.0,angus.amuri.net,9.7,2016-02-10 10:19:52+13,55.6,0.0,11.0
15.4,angus.amuri.net,3.9,2016-02-10 10:26:10+13,27.8,0.0,10.4
19.5,angus.amuri.net,5.8,2016-02-10 10:32:28+13,30.2,0.0,10.5
21.2,angus.amuri.net,13.0,2016-02-10 10:38:46+13,71.4,0.0,12.6
19.8,angus.amuri.net,8.2,2016-02-10 10:45:04+13,51.7,0.0,12.4
19.6,angus.amuri.net,6.8,2016-02-10 10:51:22+13,33.7,5.0,12.3
18.0,angus.amuri.net,4.2,2016-02-10 10:57:41+13,29.1,10.0,13.0
24.7,angus.amuri.net,16.7,2016-02-10 11:03:59+13,82.3,0.0,10.7
23.8,angus.amuri.net,11.4,2016-02-10 11:10:17+13,47.9,0.0,12.6
17.5,angus.amuri.net,4.1,2016-02-10 11:16:35+13,27.5,0.0,10.6
25.2,angus.amuri.net,18.0,2016-02-10 11:22:53+13,70.4,0.0,11.4
23.8,angus.amuri.net,13.7,2016-02-10 11:29:12+13,54.6,0.0,13.0
19.9,angus.amuri.net,5.3,2016-02-10 11:35:30+13,33.6,0.0,13.6
26.0,angus.amuri.net,13.7,2016-02-10 11:41:49+13,62.0,0.0,12.4
21.0,angus.amuri.net,7.5,2016-02-10 11:48:07+13,42.7,0.0,12.2
20.0,angus.amuri.net,5.9,2016-02-10 11:54:25+13,34.6,0.0,11.8
21.5,angus.amuri.net,9.6,2016-02-10 12:00:43+13,46.4,0.0,14.0
18.9,angus.amuri.net,5.7,2016-02-10 12:07:01+13,32.9,0.0,11.8
18.8,angus.amuri.net,8.2,2016-02-10 12:13:19+13,39.3,0.0,11.5
18.8,angus.amuri.net,8.4,2016-02-10 12:19:37+13,42.2,5.0,11.6
18.7,angus.amuri.net,8.7,2016-02-10 12:25:55+13,49.6,0.0,12.7
20.9,angus.amuri.net,15.2,2016-02-10 12:32:13+13,82.7,0.0,11.8
16.7,angus.amuri.net,4.5,2016-02-10 12:38:31+13,26.5,0.0,12.0
19.2,angus.amuri.net,9.3,2016-02-10 12:44:50+13,55.9,0.0,10.9
18.2,angus.amuri.net,10.7,2016-02-10 12:51:08+13,59.6,0.0,11.3
18.2,angus.amuri.net,5.9,2016-02-10 12:57:26+13,35.6,0.0,10.9
17.3,angus.amuri.net,5.8,2016-02-10 13:03:44+13,35.3,0.0,11.3
19.9,angus.amuri.net,4.9,2016-02-10 13:10:02+13,28.8,0.0,12.3
19.5,angus.amuri.net,6.9,2016-02-10 13:16:20+13,33.1,5.0,11.8
17.8,angus.amuri.net,8.0,2016-02-10 13:22:38+13,38.4,5.0,10.8
67.6,angus.amuri.net,26.4,2016-02-10 13:28:58+13,143.7,0.0,32.2
25.5,angus.amuri.net,10.2,2016-02-10 13:35:16+13,49.1,0.0,13.3
19.5,angus.amuri.net,4.8,2016-02-10 13:41:35+13,28.2,0.0,11.2
20.0,angus.amuri.net,8.0,2016-02-10 13:47:54+13,41.2,0.0,10.9
18.2,angus.amuri.net,6.7,2016-02-10 13:54:13+13,34.7,5.0,12.5
21.1,angus.amuri.net,7.3,2016-02-10 14:00:31+13,35.8,0.0,12.3
27.3,angus.amuri.net,30.9,2016-02-10 14:06:49+13,154.5,0.0,11.6
22.1,angus.amuri.net,9.8,2016-02-10 14:13:07+13,45.8,0.0,13.3
23.9,angus.amuri.net,8.1,2016-02-10 14:19:25+13,43.0,0.0,14.2
18.6,angus.amuri.net,10.2,2016-02-10 14:25:43+13,48.6,5.0,10.9
24.7,angus.amuri.net,11.8,2016-02-10 14:32:02+13,54.2,0.0,11.0
21.9,angus.amuri.net,9.2,2016-02-10 14:38:20+13,44.8,0.0,11.6
22.1,angus.amuri.net,5.5,2016-02-10 14:44:38+13,29.8,0.0,12.8
23.2,angus.amuri.net,8.9,2016-02-10 14:50:56+13,49.0,0.0,14.4
18.2,angus.amuri.net,10.4,2016-02-10 14:57:15+13,58.5,0.0,10.8
22.3,angus.amuri.net,20.9,2016-02-10 15:03:33+13,107.3,0.0,9.9
23.3,angus.amuri.net,10.0,2016-02-10 15:09:51+13,54.5,0.0,12.8
23.8,angus.amuri.net,9.7,2016-02-10 15:16:09+13,52.4,0.0,13.7
19.7,angus.amuri.net,6.2,2016-02-10 15:22:27+13,31.0,0.0,12.2
21.0,angus.amuri.net,9.9,2016-02-10 15:28:45+13,56.8,5.0,11.5
22.8,angus.amuri.net,8.4,2016-02-10 15:35:03+13,50.4,0.0,11.8
25.4,angus.amuri.net,12.8,2016-02-10 15:41:21+13,60.0,10.0,13.4
29.5,angus.amuri.net,14.8,2016-02-10 15:47:39+13,60.3,0.0,12.5
22.0,angus.amuri.net,10.4,2016-02-10 15:53:58+13,55.6,5.0,12.3
21.7,angus.amuri.net,9.6,2016-02-10 16:00:17+13,57.0,0.0,12.7
26.3,angus.amuri.net,9.5,2016-02-10 16:06:35+13,45.9,0.0,14.1
40.7,angus.amuri.net,26.9,2016-02-10 16:12:53+13,111.5,0.0,13.5
19.0,angus.amuri.net,5.7,2016-02-10 16:19:11+13,34.1,0.0,11.2
