8256;1023132;KALMAR POOLED INVESTMENT TRUST;N-CSR/A;03.03.2015;edgar/data/1023132/0001193125-15-074679.txt;
8257;1023132;KALMAR POOLED INVESTMENT TRUST;N-CSR;03.03.2015;edgar/data/1023132/0001193125-15-074508.txt;
8273;1023229;SEPARATE ACCOUNT B OF PACIFIC LIFE INSURANCE CO;N-30D;03.03.2015;edgar/data/1023229/0001193125-15-074669.txt;
8312;1023364;AUTOBYTEL INC;8-K;03.03.2015;edgar/data/1023364/0001415889-15-000724.txt;
8388;1023731;8X8 INC /DE/;8-K;03.03.2015;edgar/data/1023731/0001136261-15-000064.txt;
8396;1023734;BPZ RESOURCES, INC.;8-K;03.03.2015;edgar/data/1023734/0001437749-15-003962.txt;
8426;1023844;NATIONAL HOLDINGS CORP;8-K;03.03.2015;edgar/data/1023844/0001437749-15-003964.txt;
8621;1024459;LINCOLN INTERNATIONAL L.L.C.;FOCUSN;03.03.2015;edgar/data/1024459/9999999997-15-006241.txt;
8745;1024657;WEST CORP;8-K;03.03.2015;edgar/data/1024657/0001193125-15-075295.txt;
8887;1025038;ARVEST INVESTMENTS, INC.;X-17A-5;03.03.2015;edgar/data/1025038/9999999997-15-004285.txt;
9456;102752;VSE CORP;8-K;03.03.2015;edgar/data/102752/0000102752-15-000010.txt;
9951;102909;VANGUARD GROUP INC;40-17F2;03.03.2015;edgar/data/102909/0000932471-15-005695.txt;
9952;102909;VANGUARD GROUP INC;40-17F2;03.03.2015;edgar/data/102909/0000932471-15-005696.txt;
12139;1030475;CHINA EASTERN AIRLINES CORP LTD;6-K;03.03.2015;edgar/data/1030475/0001144204-15-013468.txt;
12277;1030869;NAVAID FINANCIAL SERVICES, INC.;X-17A-5;03.03.2015;edgar/data/1030869/9999999997-15-004347.txt;
12308;1030997;G WILLI FOOD INTERNATIONAL LTD;6-K;03.03.2015;edgar/data/1030997/0001178913-15-000762.txt;
12347;1031093;SILVER BULL RESOURCES, INC.;8-K;03.03.2015;edgar/data/1031093/0001079973-15-000155.txt;
12828;1033012;FLAGSTAR BANCORP INC;8-K;03.03.2015;edgar/data/1033012/0001033012-15-000021.txt;
12832;1033012;FLAGSTAR BANCORP INC;UPLOAD;03.03.2015;edgar/data/1033012/0000000000-15-013262.txt;
12943;103379;V F CORP;10-K;03.03.2015;edgar/data/103379/0001193125-15-075174.txt;
13112;1034054;SBA COMMUNICATIONS CORP;S-3ASR;03.03.2015;edgar/data/1034054/0001193125-15-075315.txt;
13138;1034263;ROGAN & ASSOCIATES, INC.;X-17A-5;03.03.2015;edgar/data/1034263/9999999997-15-004388.txt;
13178;1034426;UNITE HERE;PREC14A;03.03.2015;edgar/data/1034426/0001034426-15-000003.txt;
13330;1034842;RIGEL PHARMACEUTICALS INC;10-K;03.03.2015;edgar/data/1034842/0001047469-15-001563.txt;
13338;1034842;RIGEL PHARMACEUTICALS INC;8-K;03.03.2015;edgar/data/1034842/0001104659-15-016214.txt;
13397;1035002;VALERO ENERGY CORP/TX;8-K;03.03.2015;edgar/data/1035002/0001193125-15-075055.txt;
13427;1035114;AFFILIATED BANKERS CAPITAL, L.L.C.;X-17A-5;03.03.2015;edgar/data/1035114/9999999997-15-004383.txt;
13607;1035602;BELVEDERE CAPITAL FUND CO LLC;D/A;03.03.2015;edgar/data/1035602/0000940394-15-000406.txt;
